Title,Studio,Gross,Gross (Adjusted),Year
Gone with the Wind,MGM,198676459,1757788200,1939
Star Wars,Fox,460998007,1549640500,1977
The Sound of Music,Fox,158671368,1239013800,1965
E.T.: The Extra-Terrestrial,Universal,435110554,1234132700,1982
Titanic,Paramount,658672302,1178627900,1997
The Ten Commandments,Paramount,65500000,1139700000,1956
Jaws,Universal,260000000,1114285700,1975
Doctor Zhivago,MGM,111721910,1079978500,1965
The Exorcist,Warner Bros.,232906145,962212800,1973
Snow White and the Seven Dwarfs,Disney,184925486,948300000,1937
