station_id,name,lat,long,dockcount,landmark,installation
2,San Jose Diridon Caltrain Station,37.329732,-121.901782,27,San Jose,8/6/2013
3,San Jose Civic Center,37.330698,-121.888979,15,San Jose,8/5/2013
4,Santa Clara at Almaden,37.333988,-121.894902,11,San Jose,8/6/2013
5,Adobe on Almaden,37.331415,-121.8932,19,San Jose,8/5/2013
6,San Pedro Square,37.336721,-121.894074,15,San Jose,8/7/2013
7,Paseo de San Antonio,37.333798,-121.886943,15,San Jose,8/7/2013
8,San Salvador at 1st,37.330165,-121.885831,15,San Jose,8/5/2013
9,Japantown,37.348742,-121.894715,15,San Jose,8/5/2013
10,San Jose City Hall,37.337391,-121.886995,15,San Jose,8/6/2013
11,MLK Library,37.335885,-121.88566,19,San Jose,8/6/2013
12,SJSU 4th at San Carlos,37.332808,-121.883891,19,San Jose,8/7/2013
13,St James Park,37.339301,-121.889937,15,San Jose,8/6/2013
14,Arena Green / SAP Center,37.332692,-121.900084,19,San Jose,8/5/2013
16,SJSU - San Salvador at 9th,37.333955,-121.877349,15,San Jose,8/7/2013
80,Santa Clara County Civic Center,37.352601,-121.905733,15,San Jose,12/31/2013
84,Ryland Park,37.342725,-121.895617,15,San Jose,4/9/2014
